name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Baskin Robbins,Yes,No,3.8/5,108,Electronic City,Food Court,"Ice Cream, Desserts",250,Delivery,Electronic City
Shanmukha,Yes,No,NEW,0,Electronic City,"Takeaway, Delivery","Biryani, Seafood, Chinese, Charcoal Chicken",400,Delivery,Electronic City
Cafe Coffee Day,Yes,No,3.2/5,75,Electronic City,Cafe,"Cafe, Fast Food",900,Delivery,Electronic City
Five Star Chicken,Yes,No,3.2/5,66,Electronic City,Quick Bites,"Fast Food, Burger",200,Delivery,Electronic City
Just Shawarma,Yes,No,3.9/5,176,Electronic City,Kiosk,Arabian,300,Delivery,Electronic City
The Milkshake Theory,Yes,No,3.6/5,10,Electronic City,Beverage Shop,"Beverages, Fast Food",400,Delivery,Electronic City
Sunny's,Yes,No,3.0/5,13,Electronic City,Quick Bites,"Sandwich, Fast Food, Salad, Bakery, Juices",300,Delivery,Electronic City
Dessert Bar,Yes,No,,0,Electronic City,Quick Bites,"Desserts, Fast Food, North Indian",400,Delivery,Electronic City
Cafe Palnad,Yes,No,4.0/5,92,Electronic City,Quick Bites,"South Indian, Fast Food",400,Delivery,Electronic City
Pattikattan Biriyani,Yes,No,NEW,0,Electronic City,Quick Bites,"Biryani, North Indian",300,Delivery,Electronic City
Navab's,Yes,No,,0,Electronic City,Delivery,Mughlai,600,Delivery,Electronic City
Andhra Spicy Food Court,Yes,No,3.2/5,22,Electronic City,Quick Bites,"Andhra, Biryani",400,Delivery,Electronic City
Esfahan Restaurant,Yes,No,3.5/5,148,Electronic City,Casual Dining,"North Indian, Lucknowi, Mughlai, Biryani",700,Delivery,Electronic City
Kathi Junction,Yes,No,2.8/5,44,Electronic City,Quick Bites,"Rolls, North Indian, Mughlai",400,Delivery,Electronic City
Melange - Hotel Ekaa,Yes,Yes,3.2/5,426,Electronic City,Casual Dining,"North Indian, Chinese, Continental, Mangalorean",900,Delivery,Electronic City
Satkar Restaurant,Yes,No,3.6/5,75,Electronic City,Quick Bites,"North Indian, Chinese, Biryani, Seafood",350,Delivery,Electronic City
Yeruva Biriyani,Yes,No,3.5/5,40,Electronic City,Delivery,"Biryani, Chinese",400,Delivery,Electronic City
Biryani Darbar,Yes,No,NEW,0,Electronic City,Quick Bites,"Biryani, Andhra, Chinese, North Indian",550,Delivery,Electronic City
Swad 'E' Punjab,Yes,No,NEW,0,Electronic City,Quick Bites,"North Indian, Chinese, Fast Food, Biryani",500,Delivery,Electronic City
Kolkata Famous Kathi Rolls,Yes,No,3.5/5,14,Electronic City,Quick Bites,"Fast Food, Rolls",200,Delivery,Electronic City
Ambur Biriyani Classic,Yes,No,3.3/5,136,Electronic City,Casual Dining,"Biryani, South Indian, North Indian",700,Delivery,Electronic City
Marley's Bistro,Yes,No,3.9/5,93,Electronic City,Casual Dining,"Continental, European, Salad, Beverages, Italian, Burger",400,Delivery,Electronic City
Hyderabad Darbar,Yes,No,3.7/5,100,Electronic City,Casual Dining,"Andhra, South Indian",700,Delivery,Electronic City
Hotel Sakti Saravana,Yes,No,3.8/5,67,Electronic City,Quick Bites,"Tamil, South Indian",350,Delivery,Electronic City
Bowl House Kitchen,Yes,No,NEW,0,Electronic City,"Takeaway, Delivery","North Indian, Biryani, Asian",400,Delivery,Electronic City
Z Cafe,Yes,No,3.6/5,19,Electronic City,Quick Bites,"Chinese, Fast Food, Beverages",300,Delivery,Electronic City
Wat-a-Biryani,Yes,No,,0,Electronic City,Delivery,Biryani,500,Delivery,Electronic City
Swathi Restaurant - The Vintage Inn,Yes,No,3.8/5,36,Electronic City,Casual Dining,"Andhra, North Indian",900,Delivery,Electronic City
Paratha House,Yes,No,3.6/5,33,Electronic City,Quick Bites,"North Indian, Chinese",350,Delivery,Electronic City
The Mirchi,Yes,No,3.3/5,22,Electronic City,"Takeaway, Delivery","Chinese, North Indian, Bengali",400,Delivery,Electronic City
Prem's Biriyani,Yes,No,3.3/5,7,Electronic City,Quick Bites,"Biryani, Fast Food",300,Delivery,Electronic City
Mast Punjabi Spice,Yes,No,2.9/5,34,Electronic City,"Takeaway, Delivery",North Indian,400,Delivery,Electronic City
Thanima Garden Restaurant,Yes,No,3.6/5,163,Electronic City,Casual Dining,"North Indian, Chinese, Kerala",500,Delivery,Electronic City
Bhukkads,Yes,No,3.2/5,63,Electronic City,Casual Dining,"Chinese, North Eastern",400,Delivery,Electronic City
Karaikudi Restaurant,Yes,No,3.7/5,214,Electronic City,Quick Bites,South Indian,300,Delivery,Electronic City
Mamaji's,Yes,No,3.6/5,453,Electronic City,Casual Dining,North Indian,600,Delivery,Electronic City
Bangaliana,Yes,No,3.0/5,61,Electronic City,Casual Dining,Bengali,600,Delivery,Electronic City
Tuba Rolls & Snacks,Yes,No,3.0/5,58,Electronic City,Quick Bites,"Chinese, Fast Food, North Indian, Rolls",200,Delivery,Electronic City
Peril Enthirikkunnu,Yes,No,NEW,0,Electronic City,Quick Bites,"Kerala, South Indian",250,Delivery,Electronic City
Wangs Kitchen,Yes,No,2.5/5,55,Electronic City,"Takeaway, Delivery",Chinese,"1,000",Delivery,Electronic City
Aunty Kitchen,Yes,No,,0,Electronic City,Quick Bites,"North Indian, Chinese, Fast Food",700,Delivery,Electronic City
New Food Magic,Yes,No,3.2/5,153,Electronic City,Casual Dining,"Andhra, Chinese, North Indian, South Indian",450,Delivery,Electronic City
True South,Yes,No,NEW,0,Electronic City,Quick Bites,"Beverages, Fast Food",200,Delivery,Electronic City
Akshara,Yes,No,3.8/5,42,Electronic City,Casual Dining,"North Indian, South Indian, Chinese",700,Delivery,Electronic City
Kittu's,Yes,Yes,4.2/5,800,Electronic City,Casual Dining,North Indian,750,Delivery,Electronic City
EC Dine Restaurant,Yes,No,3.4/5,23,Electronic City,Casual Dining,"South Indian, North Indian, Kerala",500,Delivery,Electronic City
Bangarpet Chats Adda,Yes,No,NEW,0,Electronic City,Quick Bites,"Street Food, Sandwich, Beverages",200,Delivery,Electronic City
Udupi Food Junction,Yes,No,3.5/5,9,Electronic City,Quick Bites,"South Indian, North Indian",250,Delivery,Electronic City
She Brews,Yes,No,3.8/5,159,Electronic City,Cafe,"Cafe, Continental, Thai, Chinese",400,Delivery,Electronic City
Delhi Food Factory,Yes,No,,0,Electronic City,Delivery,,500,Delivery,Electronic City
Maa Biryani Hyderabadi,Yes,No,2.6/5,59,Electronic City,Delivery,Biryani,450,Delivery,Electronic City
Omleterian,Yes,No,,0,Electronic City,Quick Bites,"American, Continental",200,Delivery,Electronic City
Chef Baker's,Yes,No,3.8/5,101,Electronic City,"Bakery, Quick Bites","Bakery, Fast Food, Pizza, Burger, Cafe",600,Delivery,Electronic City
Curries 'N' Phulkas,Yes,No,3.4/5,6,Electronic City,Quick Bites,North Indian,250,Delivery,Electronic City
Donut Cafe,Yes,No,3.9/5,163,Electronic City,"Dessert Parlor, Quick Bites","Desserts, Fast Food",250,Delivery,Electronic City
Halli Kitchen,Yes,No,2.5/5,63,Electronic City,Quick Bites,South Indian,300,Delivery,Electronic City
Hotel Uma Bhai,Yes,No,3.7/5,38,Electronic City,Quick Bites,North Indian,400,Delivery,Electronic City
Kettle & Kegs,Yes,No,3.1/5,16,Electronic City,Delivery,"Tea, Beverages",200,Delivery,Electronic City
Biggies Burger 'n' More,Yes,No,3.9/5,176,Electronic City,Quick Bites,"Cafe, Burger, Beverages",650,Delivery,Electronic City
Food Singh,Yes,No,,0,Electronic City,Delivery,North Indian,500,Delivery,Electronic City
Vov Shawarma,Yes,No,3.2/5,6,Electronic City,Quick Bites,Fast Food,200,Delivery,Electronic City
7 Shanghai,Yes,No,3.5/5,18,Electronic City,Quick Bites,Chinese,250,Delivery,Electronic City
Chination,Yes,No,,0,Electronic City,Delivery,Chinese,600,Delivery,Electronic City
Annapurna Andhra Hotel,Yes,No,3.3/5,5,Electronic City,Quick Bites,"Mughlai, Chinese, North Indian",400,Delivery,Electronic City
Hotel Avakay,Yes,No,3.6/5,27,Electronic City,Casual Dining,"Andhra, North Indian, Chinese, Biryani",550,Delivery,Electronic City
BIB - Breakfast in the Box,Yes,No,3.9/5,56,Electronic City,Quick Bites,"American, Sandwich",600,Delivery,Electronic City
Chivi's Meilleurs Boulangers,Yes,No,3.4/5,12,Electronic City,Quick Bites,"South Indian, Bakery, Fast Food",300,Delivery,Electronic City
Mr. Meetharam,Yes,No,3.3/5,7,Electronic City,Quick Bites,"Mithai, Street Food",150,Delivery,Electronic City
King's Appetite,Yes,No,3.7/5,45,Electronic City,"Food Court, Quick Bites","North Indian, Chinese",500,Delivery,Electronic City
Thanco's Natural Ice Creams,Yes,No,3.7/5,54,Electronic City,Dessert Parlor,"Ice Cream, Desserts",450,Delivery,Electronic City
Cakes Wagon,Yes,No,3.4/5,36,Electronic City,Bakery,"Bakery, Desserts",600,Delivery,Electronic City
Cake Menu,Yes,No,3.3/5,23,Electronic City,Bakery,Bakery,400,Delivery,Electronic City
A2B - Adyar Ananda Bhavan,Yes,No,3.1/5,352,Electronic City,Casual Dining,"South Indian, North Indian, Chinese, Street Food, Fast Food",400,Delivery,Electronic City
Pot Biryani,Yes,No,2.8/5,297,Electronic City,Quick Bites,"North Indian, Chinese, Biryani, Seafood",600,Delivery,Electronic City
Chawla's 2 Online.com,Yes,No,,0,Electronic City,Delivery,North Indian,800,Delivery,Electronic City
Hottey Smokey,Yes,No,NEW,0,Electronic City,"Takeaway, Delivery","Asian, Salad, Italian",400,Delivery,Electronic City
OrganicFeast,Yes,No,2.9/5,45,Electronic City,Quick Bites,"North Indian, Chinese, Healthy Food",400,Delivery,Electronic City
Manasa Andhra Style Multi Cuisine Restaurant,No,No,3.6/5,70,Electronic City,Casual Dining,"North Indian, South Indian, Chinese, Andhra, Biryani",800,Delivery,Electronic City
Akkad Bakkad,Yes,Yes,3.9/5,72,Electronic City,Casual Dining,"North Indian, Chinese",600,Delivery,Electronic City
Meat and Eat,Yes,No,3.4/5,19,Electronic City,Quick Bites,"Fast Food, Burger",500,Delivery,Electronic City
The Chocolate Room,Yes,No,2.8/5,43,Electronic City,Cafe,"Cafe, Beverages",600,Delivery,Electronic City
Hotel Shruthi,Yes,No,3.5/5,13,Electronic City,Quick Bites,"North Indian, Biryani",200,Delivery,Electronic City
Kababish Restaurant,Yes,No,NEW,0,Electronic City,Quick Bites,"North Indian, Chinese, Arabian, Biryani, Rolls",500,Delivery,Electronic City
Crumbz Crunches,Yes,No,3.1/5,44,Electronic City,Quick Bites,"North Indian, Chinese",450,Delivery,Electronic City
Delhi Fast Food,Yes,No,,0,Electronic City,Quick Bites,Street Food,100,Delivery,Electronic City
The Milkshake Co and More,Yes,No,NEW,0,South Bangalore,"Takeaway, Delivery","Beverages, Desserts, Fast Food",250,Delivery,Electronic City
Mumbai Kulfi,Yes,No,3.7/5,61,Electronic City,Dessert Parlor,"Ice Cream, Desserts",100,Delivery,Electronic City
Alikemom,Yes,No,NEW,0,Electronic City,"Takeaway, Delivery",North Indian,300,Delivery,Electronic City
Sky Lounge Bar - Svenska Design Hotel,Yes,Yes,4.0/5,537,Electronic City,"Bar, Casual Dining","North Indian, Pizza, Asian, Italian","1,500",Delivery,Electronic City
Foodie Nation,Yes,Yes,3.5/5,89,Electronic City,Casual Dining,"North Indian, Chinese, Arabian","1,000",Delivery,Electronic City
Chilli Park,Yes,No,NEW,0,Electronic City,Quick Bites,"North Indian, Chinese, Fast Food",300,Delivery,Electronic City
Gilly's Restobar,No,Yes,4.3/5,1249,Electronic City,"Pub, Casual Dining","Continental, North Indian, Chinese, Salad","1,200",Delivery,Electronic City
Spicy Tandoor,Yes,No,2.7/5,39,Electronic City,"Takeaway, Delivery","North Indian, Chinese, Kebab, Mughlai",400,Delivery,Electronic City
Parivaar Eat House,Yes,No,,0,Electronic City,Delivery,"North Indian, Biryani",500,Delivery,Electronic City
Messy's,Yes,No,3.8/5,108,Electronic City,Quick Bites,Fast Food,400,Delivery,Electronic City
Entree cafe,Yes,No,3.7/5,56,Electronic City,"Cafe, Bakery","Cafe, Bakery, Desserts",400,Delivery,Electronic City
Rayalaseema Ruchulu SR,Yes,No,3.2/5,9,Electronic City,"Takeaway, Delivery","Andhra, South Indian",300,Delivery,Electronic City
Andhra Biryani & Curries,Yes,No,3.1/5,4,Electronic City,Quick Bites,"North Indian, South Indian, Chinese, Andhra, Biryani",400,Delivery,Electronic City
Reddy's Hyderabadi Biryani,Yes,No,2.7/5,76,Electronic City,"Takeaway, Delivery","Chinese, North Indian, South Indian, Biryani, Andhra",500,Delivery,Electronic City
Mughlai Kitchen,Yes,No,NEW,0,Electronic City,,"Mughlai, North Indian, Chinese, Momos",600,Delivery,Electronic City
The Platonic Cafe,Yes,No,NEW,0,Electronic City,Cafe,"Cafe, Beverages",500,Delivery,Electronic City
Juicy,Yes,No,3.9/5,37,Electronic City,"Beverage Shop, Quick Bites","Beverages, Juices, Fast Food",200,Delivery,Electronic City
Flying Cakes,Yes,No,3.1/5,127,Electronic City,Bakery,"Bakery, Desserts",500,Delivery,Electronic City
Manasa Cool Cafe,Yes,No,3.2/5,7,Electronic City,Cafe,"Fast Food, Juices, Cafe, Desserts",300,Delivery,Electronic City
Godavari Delights,Yes,No,3.0/5,11,Electronic City,Casual Dining,South Indian,400,Delivery,Electronic City
Domino's Pizza,Yes,No,2.7/5,477,Electronic City,Quick Bites,"Pizza, Fast Food",400,Delivery,Electronic City
Royal Iceberry,Yes,No,3.4/5,5,Electronic City,Dessert Parlor,Desserts,200,Delivery,Electronic City
Biryani Darbar,Yes,No,3.3/5,12,Electronic City,Casual Dining,"Biryani, Chinese",600,Delivery,Electronic City
Petoo,Yes,No,3.6/5,55,Electronic City,Food Court,"North Indian, Fast Food, Street Food",400,Delivery,Electronic City
Just Cakes,Yes,No,3.4/5,22,Electronic City,Bakery,Bakery,350,Delivery,Electronic City
Andhra Amigos,Yes,No,3.6/5,81,Electronic City,Casual Dining,"Andhra, North Indian, Biryani",350,Delivery,Electronic City
Kritunga Restaurant,No,Yes,3.8/5,473,Electronic City,Casual Dining,"Andhra, Biryani, North Indian, Chinese",650,Delivery,Electronic City
Srinidhi Grand,Yes,No,,0,Electronic City,Quick Bites,"South Indian, Fast Food",150,Delivery,Electronic City
Shake The Shake,Yes,No,NEW,0,Electronic City,Beverage Shop,Juices,200,Delivery,Electronic City
McDonald's,Yes,No,3.3/5,5,Bommanahalli,Quick Bites,"Burger, Fast Food",500,Delivery,Electronic City
Uma Ki Rasoi,Yes,No,3.9/5,40,Electronic City,Quick Bites,North Indian,250,Delivery,Electronic City
Momo Time,Yes,No,,0,Electronic City,Quick Bites,Momos,400,Delivery,Electronic City
Chick Blast,No,No,3.3/5,6,Electronic City,Quick Bites,Fast Food,400,Delivery,Electronic City
Masale Daan,Yes,No,,0,Electronic City,Delivery,North Indian,350,Delivery,Electronic City
Today Coffee,Yes,No,NEW,0,Electronic City,Quick Bites,South Indian,150,Delivery,Electronic City
Sankalp Reddy Restaurant,Yes,No,3.9/5,33,Electronic City,Quick Bites,"South Indian, Andhra, Biryani",300,Delivery,Electronic City
Millennium Plaza,Yes,No,3.4/5,19,Electronic City,Casual Dining,North Indian,700,Delivery,Electronic City
Sitara Veg Restaurant,Yes,No,3.9/5,417,Electronic City,Quick Bites,"South Indian, North Indian, Chinese",400,Delivery,Electronic City
Lassi Corner,Yes,No,3.7/5,28,Electronic City,Beverage Shop,"Beverages, Sandwich",150,Delivery,Electronic City
Sweet Chariot,Yes,No,3.0/5,60,Electronic City,Dessert Parlor,"Bakery, Fast Food",500,Delivery,Electronic City
Hyderabadi Biryani Flames,Yes,No,,0,Electronic City,"Takeaway, Delivery","Biryani, Andhra",300,Delivery,Electronic City
Hotel Ranga,Yes,No,,0,Electronic City,Quick Bites,South Indian,400,Delivery,Electronic City
Seasons,Yes,No,2.9/5,380,Electronic City,Casual Dining,"North Indian, South Indian, Chinese, Seafood, Kerala, Arabian, Juices","1,000",Delivery,Electronic City
Cedar Bar & Dive - Hotel Presidency,Yes,No,3.8/5,49,Electronic City,Bar,"North Indian, Thai, Chinese, Continental","1,200",Delivery,Electronic City
Juicemaker,No,No,3.9/5,31,Electronic City,Beverage Shop,"Beverages, Fast Food",400,Delivery,Electronic City
Cuppa,Yes,No,3.0/5,119,Electronic City,Cafe,"Cafe, Fast Food, Continental",700,Delivery,Electronic City
Lord of Combos,Yes,No,NEW,0,Electronic City,Quick Bites,North Indian,500,Delivery,Electronic City
Just Bake,Yes,No,3.2/5,14,Electronic City,"Bakery, Quick Bites","Bakery, Desserts",400,Delivery,Electronic City
Vinaya Royal Inn,Yes,No,3.1/5,5,Electronic City,Casual Dining,"North Indian, Chinese",500,Delivery,Electronic City
Bamboo Shades,Yes,No,2.8/5,48,Electronic City,Casual Dining,"Charcoal Chicken, Chinese, North Indian, Juices, Desserts, Seafood, South Indian","1,000",Delivery,Electronic City
Meridian South - A Pure Vegetarian Restaurant,No,No,NEW,0,Electronic City,Casual Dining,"North Indian, South Indian, Chinese",600,Delivery,Electronic City
Tap House Resto Bar,Yes,Yes,3.4/5,184,Electronic City,"Casual Dining, Bar","Chinese, North Indian, Thai",900,Delivery,Electronic City
Kabab Souq,No,No,3.4/5,7,Electronic City,Quick Bites,"North Indian, Chinese",400,Delivery,Electronic City
Aagaman Veg,Yes,No,NEW,0,Electronic City,Casual Dining,"North Indian, Chinese, South Indian",900,Delivery,Electronic City
French Bake House,Yes,No,3.7/5,91,Electronic City,Bakery,"Bakery, French, Fast Food",200,Delivery,Electronic City
Apsara Ice Cream,No,No,4.0/5,67,Electronic City,Dessert Parlor,"Ice Cream, Desserts",200,Delivery,Electronic City
Mesa Deli - Svenska Design Hotel,Yes,Yes,3.2/5,9,Electronic City,Casual Dining,"North Indian, Italian",600,Delivery,Electronic City
Indian Kitchen - Hotel Presidency,Yes,No,3.0/5,8,Electronic City,Casual Dining,"Fast Food, North Indian, Finger Food","1,000",Delivery,Electronic City
Salt N Pepper,No,No,3.6/5,74,Electronic City,Casual Dining,"North Indian, Chinese",500,Delivery,Electronic City
Punjab Calling,Yes,No,3.7/5,10,Electronic City,Quick Bites,North Indian,400,Delivery,Electronic City
Hanchi Thinnuva,Yes,No,3.5/5,17,Electronic City,Quick Bites,South Indian,300,Delivery,Electronic City
Venadu Restaurant,No,No,3.4/5,7,Electronic City,Casual Dining,Kerala,700,Delivery,Electronic City
Chill Out Cafe,No,No,3.5/5,11,Electronic City,Quick Bites,"North Indian, Chinese",350,Delivery,Electronic City
Trisha's Kitchen,Yes,No,3.2/5,4,Electronic City,"Takeaway, Delivery","North Indian, Chinese",300,Delivery,Electronic City
Just Homely,Yes,No,NEW,0,Electronic City,"Takeaway, Delivery",North Indian,300,Delivery,Electronic City
Nandanam Family Restaurant,No,No,3.3/5,4,Electronic City,Quick Bites,"Kerala, Chinese",400,Delivery,Electronic City
Mohabbat Desi Restaurant,No,No,,0,,,,,Delivery,Electronic City
Hello Cafe,No,No,NEW,0,Electronic City,Quick Bites,"Fast Food, Beverages",200,Delivery,Electronic City
Food Point Family Restauarant,Yes,No,3.3/5,6,Electronic City,Casual Dining,"North Indian, Chinese, Mughlai",700,Delivery,Electronic City
Kababish Sizzler,No,No,,0,Electronic City,Quick Bites,"Biryani, North Indian, South Indian, Fast Food",250,Delivery,Electronic City
#Vibes Restro,No,No,,0,Electronic City,Casual Dining,"Continental, Chinese, Italian",700,Delivery,Electronic City
Soul Curry Restaurant,No,No,3.6/5,18,Electronic City,"Casual Dining, Bar","Andhra, Chinese, North Indian, Biryani",600,Delivery,Electronic City
Time Traveller - Sai Vishram,Yes,No,4.2/5,882,Electronic City,Casual Dining,"Continental, North Indian, South Indian, Chinese","1,100",Delivery,Electronic City
Ragi Nadu,No,No,3.5/5,13,Electronic City,Quick Bites,"South Indian, Biryani, Chinese",450,Delivery,Electronic City
Rolls On Wheels,No,No,2.7/5,23,Electronic City,Quick Bites,"Fast Food, Rolls, Momos",300,Delivery,Electronic City
Basaveshwara Khanavali,No,No,,0,Electronic City,Quick Bites,South Indian,100,Delivery,Electronic City
Mesa Lounge Bar - Svenska Design Hotel,No,Yes,3.5/5,49,Electronic City,Lounge,"North Indian, Pizza, Asian, Italian","1,500",Delivery,Electronic City
Pulla Reddy Sweets,No,No,3.0/5,22,Electronic City,Dessert Parlor,Mithai,250,Delivery,Electronic City
Food 4 U,No,No,3.6/5,34,Electronic City,Quick Bites,North Indian,400,Delivery,Electronic City
Half Girlfriend,Yes,No,NEW,0,Electronic City,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",600,Delivery,Electronic City
The Hungry,Yes,No,3.6/5,20,Electronic City,Quick Bites,"Fast Food, Chinese",400,Delivery,Electronic City
Green Family Bar & Restaurant,No,No,3.0/5,57,Electronic City,Casual Dining,"North Indian, Chinese, Andhra","1,000",Delivery,Electronic City
Chinmayee's,No,No,3.1/5,83,Electronic City,Casual Dining,"North Indian, Chinese",700,Delivery,Electronic City
Tellimagic Restaurant,Yes,No,3.5/5,12,Electronic City,Quick Bites,"North Indian, South Indian, Chinese",400,Delivery,Electronic City
SFC Kabab Corner,No,No,3.6/5,14,Electronic City,Quick Bites,"Chinese, Andhra",350,Delivery,Electronic City
Royal Chowpatty,No,No,3.7/5,14,Electronic City,Quick Bites,Street Food,100,Delivery,Electronic City
New Aastha,Yes,No,3.6/5,34,Electronic City,Quick Bites,"North Indian, Chinese",250,Delivery,Electronic City
Food Club Restaurant,No,No,3.7/5,45,Electronic City,Casual Dining,"North Indian, Chinese",500,Delivery,Electronic City
Bhojanam Restaurant,No,No,3.6/5,196,Electronic City,Casual Dining,"Andhra, Biryani",600,Delivery,Electronic City
Ruchie Rich,No,No,3.5/5,134,Electronic City,Quick Bites,"Biryani, Fast Food, North Indian",200,Delivery,Electronic City
Balaji Foods,No,No,,0,Electronic City,"Takeaway, Delivery",South Indian,250,Delivery,Electronic City
Ruchimayam Restaurant,No,No,,0,Electronic City,Quick Bites,"Andhra, Chinese",350,Delivery,Electronic City
RK Garden Family Restaurant,No,No,3.5/5,17,Electronic City,Casual Dining,"Andhra, Chinese, North Indian, South Indian",600,Delivery,Electronic City
Sai Grand,No,No,NEW,0,Electronic City,Quick Bites,"South Indian, North Indian, Chinese",200,Delivery,Electronic City
The Dining Table - Sahar Pavillion,No,Yes,3.7/5,74,Electronic City,"Casual Dining, Bar","Chinese, Continental, North Indian, Pizza, South Indian","1,500",Delivery,Electronic City
Vijayawadawari Sandhya Andhra Mess,Yes,No,3.4/5,10,Electronic City,Quick Bites,"North Indian, Biryani, South Indian",400,Delivery,Electronic City
Eden Huts Dhaba,No,No,3.6/5,33,Electronic City,Casual Dining,"Chinese, North Indian",500,Delivery,Electronic City
Silicon Spicy Bite & Sip,No,No,NEW,0,Electronic City,Quick Bites,"Fast Food, Beverages",200,Delivery,Electronic City
Samrudhi,No,No,2.9/5,18,Electronic City,Casual Dining,"Andhra, Chinese, North Indian",450,Delivery,Electronic City
Hotel Food Zone,No,No,3.3/5,9,Electronic City,Quick Bites,"North Indian, Chinese",350,Delivery,Electronic City
Magic Oven,No,No,4.0/5,134,Electronic City,"Cafe, Dessert Parlor","Cafe, Desserts",400,Delivery,Electronic City
Amaravati,No,No,,0,Electronic City,Casual Dining,"Andhra, North Indian, Chinese, Seafood",600,Delivery,Electronic City
NMR Multicuisine Restaurant,Yes,No,3.6/5,9,Electronic City,Casual Dining,"North Indian, Chinese, Arabian, Juices",550,Delivery,Electronic City
Oasis Restaurant,No,No,2.9/5,28,Electronic City,Casual Dining,"North Indian, Chinese, Kebab",550,Delivery,Electronic City
Swad,No,No,3.7/5,38,Electronic City,Casual Dining,"North Indian, Chinese",500,Delivery,Electronic City
Salt And Spice,No,No,3.2/5,77,Electronic City,Quick Bites,"North Indian, Kerala",450,Delivery,Electronic City
The Hungry Shark Cafe,No,No,3.9/5,117,Electronic City,Cafe,"Cafe, Continental, Beverages",700,Delivery,Electronic City
Hotel Green Palace,No,No,,0,Electronic City,Quick Bites,"North Indian, South Indian, Kerala",200,Delivery,Electronic City
Just Like Mum's,No,No,,0,Electronic City,Bakery,"Bakery, Desserts",200,Delivery,Electronic City
Galaxy Kebabs & Curries,No,No,,0,Electronic City,Casual Dining,"North Indian, Kebab, Seafood, Chinese",650,Delivery,Electronic City
Burmans Home Food,No,No,,0,Electronic City,Quick Bites,North Indian,300,Delivery,Electronic City
Bawarchi,No,No,3.0/5,29,Electronic City,Quick Bites,"North Indian, Chinese",400,Delivery,Electronic City
Kinara Family Restaurant,No,No,3.5/5,11,Electronic City,Casual Dining,"South Indian, North Indian, Chinese",600,Delivery,Electronic City
Food Planet,No,No,3.1/5,5,Electronic City,Quick Bites,"North Indian, Chinese, Kerala",400,Delivery,Electronic City
Bachelor's Special Biriyani,No,No,3.3/5,6,Electronic City,Quick Bites,"Biryani, North Indian, South Indian",250,Delivery,Electronic City
E Foods Regalia,No,No,3.1/5,11,Electronic City,Quick Bites,"South Indian, Chinese",550,Delivery,Electronic City
Malabar Restaurant,No,No,3.6/5,19,Electronic City,Quick Bites,"Kerala, Fast Food, Beverages",400,Delivery,Electronic City
Cake Point,No,No,,0,Electronic City,Quick Bites,Bakery,300,Delivery,Electronic City
Hotel Fresh N Tasty,No,No,,0,Electronic City,Quick Bites,"North Indian, South Indian, Chinese, Kerala",300,Delivery,Electronic City
Indulge,No,No,,0,Electronic City,Bakery,"Bakery, Desserts",200,Delivery,Electronic City
Nomnom,No,No,,0,Electronic City,Delivery,"Kerala, North Indian, Chinese",400,Delivery,Electronic City
24 Hours Cake Delivery,No,No,,0,Electronic City,Delivery,Bakery,700,Delivery,Electronic City
Bak'd Goodies,No,No,,0,Electronic City,Bakery,Bakery,350,Delivery,Electronic City
Nasma Restaurant,No,No,,0,Electronic City,Casual Dining,"North Indian, Chinese, Arabian",550,Delivery,Electronic City
Healthy Bill,No,No,,0,Electronic City,Quick Bites,"Salad, Sandwich, Fast Food, Beverages, Juices",200,Delivery,Electronic City
Arya Bhavan Sweets,No,No,,0,Electronic City,Sweet Shop,"Mithai, Street Food, North Indian",300,Delivery,Electronic City
Jyoti's Kitchen-Donne Biryani,No,No,,0,Electronic City,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery,Electronic City
RK Foods,No,No,,0,Electronic City,Quick Bites,North Indian,300,Delivery,Electronic City
Amaravathi Andhra Mess,No,No,,0,Electronic City,Quick Bites,Andhra,300,Delivery,Electronic City
Delish Mom Food,No,No,,0,Electronic City,Delivery,"Chinese, North Indian, South Indian",300,Delivery,Electronic City
Casamia Restaurant,No,No,,0,Electronic City,Quick Bites,"North Indian, South Indian, Kerala, Arabian",400,Delivery,Electronic City
Casamia Restaurant,No,No,,0,Electronic City,Quick Bites,"South Indian, North Indian, Arabian",400,Delivery,Electronic City
KATOOTA,No,No,,0,Electronic City,Quick Bites,"South Indian, Biryani",300,Delivery,Electronic City
Rayalaseema Ruchulu,No,No,,0,Electronic City,Casual Dining,"Andhra, North Indian",700,Delivery,Electronic City
Andhra Chettinad Cuisine,No,No,3.6/5,24,Electronic City,Quick Bites,"Andhra, South Indian, Chettinad",250,Delivery,Electronic City
Varenyam,No,No,3.7/5,56,Electronic City,Casual Dining,"South Indian, North Indian",500,Delivery,Electronic City
Choconut,No,No,,0,Electronic City,Beverage Shop,"Bakery, Desserts",300,Delivery,Electronic City
Fumzas Dine,No,No,,0,Electronic City,Quick Bites,"Biryani, North Indian",400,Delivery,Electronic City
Sri Mandarathi,No,No,,0,Electronic City,"Quick Bites, Beverage Shop","South Indian, Juices",350,Delivery,Electronic City
Biryani Centre,No,No,,0,Electronic City,Quick Bites,South Indian,300,Delivery,Electronic City
